sensor_id,minutes_total,clean_available,imputed_available,newly_imputed,still_missing_after_imputation,clean_available_rate,imputed_available_rate,newly_imputed_rate,still_missing_rate,temporal_linear_count,rolling_median_count,profile_median_count,logic_invalid_count,stuck_off_count,cap_exceeded_count,profile_hard_count
D122,2089584,1034254,1098977,64723,990607,0.494956890940972,0.5259309987059625,0.030974107764990544,0.47406900129403745,111505,64349,374,657758,76126,849026,77
D62,2089584,1046910,1187558,140648,902026,0.5010135988790113,0.5683226900665396,0.06730909118752823,0.43167730993346043,304410,135061,35077,246595,795187,28,62559
D121,2089584,1230021,1274337,44316,815247,0.5886439597546689,0.6098520088208945,0.021208049066225622,0.3901479911791055,63155,42541,1775,827473,19313,733231,8167
D22,2089584,1345317,1428030,82713,661554,0.6438204924999426,0.6834039694025222,0.03958347690257965,0.31659603059747776,154520,81211,49255,108452,540257,0,91471
D81,2089584,1454203,1506451,52248,583133,0.6959294290155361,0.720933448954433,0.025004019938896928,0.279066551045567,56630,50083,51967,117392,498892,0,54402
D111,2089584,1448042,1514903,66861,574681,0.6929809952603007,0.7249782731873904,0.03199727792708979,0.2750217268126096,75053,64514,17602,846832,503863,0,42866
D21,2089584,1670131,1766393,96262,323191,0.7992648297460164,0.8453323723765113,0.046067542630494875,0.1546676276234887,207829,95205,31106,381610,73676,0,218993
V64,2089584,1653107,1836598,183491,252986,0.7911177535815741,0.8789299688359022,0.08781221525432814,0.12107003116409773,322364,175986,59498,241494,112965,0,83257
V32,2089584,1761244,1889061,127817,200523,0.8428682455455249,0.9040368800679944,0.061168634522469546,0.09596311993200561,262558,123502,21458,545680,126143,0,31123
D23,2089584,1808811,1891869,83058,197715,0.8656321066776927,0.9053806882135391,0.03974858153584637,0.09461931178646085,112978,82465,20569,504022,15867,0,149593
V124,2089584,1755457,1919899,164442,169685,0.8400987947840336,0.9187948414612669,0.07869604667723336,0.08120515853873307,272149,157973,54599,228543,67988,0,49889
D31,2089584,1818970,1924747,105777,164837,0.8704938399222046,0.9211149204817801,0.050621080559575496,0.0788850795182199,204719,104981,14117,1079209,129870,1,2089
V24,2089584,1812117,1934612,122495,154972,0.8672142397721269,0.9258359558648994,0.05862171609277253,0.07416404413510058,263356,118739,34617,404725,76853,0,41781
D61,2089584,1813959,1945337,131378,144247,0.8680957549445248,0.9309685564207996,0.0628728014762747,0.06903144357920045,235096,125992,10087,938400,87379,2,20782
D82,2089584,1868805,1973519,104714,116065,0.8943430845565433,0.9444554514199955,0.050112366863452246,0.05554454858000444,140012,102439,44724,172306,16574,0,59352
V114,2089584,1852124,1988155,138980,101429,0.886360155897059,0.9514597163837395,0.06651084617799524,0.04854028361626046,120250,130957,35403,810948,5146,0,30405
V92,2089584,1856549,1989407,134319,100177,0.8884778022802625,0.9520588787050437,0.06428025865435417,0.04794112129495632,122958,129009,21503,970492,6343,0,33134
V113,2089584,1904202,1990184,91565,99400,0.9112828199297085,0.9524307230530096,0.04381972679729554,0.0475692769469904,29647,87746,26531,896576,34,0,26452
V26,2089584,1890340,1996175,105835,93409,0.9046489636214673,0.9552978009019977,0.050648837280530476,0.044702199098002285,184326,102294,33265,574744,40970,0,19206
V63,2089584,1884466,1998373,113907,91211,0.9018378777785435,0.9563496849133607,0.054511807134817264,0.04365031508663925,154999,108380,33935,539382,18963,0,37482
D52,2089584,1882330,2008666,126336,80918,0.900815664744753,0.9612755457545616,0.060459881009808654,0.03872445424543833,166854,122643,12985,795817,18918,0,19662
V123,2089584,1911609,2009000,97391,80584,0.9148275446213218,0.96143538618213,0.04660784156080828,0.03856461381786997,109710,91518,39800,443897,11828,0,32808
V54,2089584,1903262,2017185,113923,72399,0.9108329696245759,0.9653524337858636,0.054519464161287605,0.0346475662141364,119967,107093,29849,817044,6486,0,25599
V84,2089584,1929823,2025813,95990,63771,0.9235441121294956,0.9694814853099947,0.045937373180499085,0.030518514690005282,108255,90817,41868,743426,7293,0,24912
V53,2089584,1932829,2030060,97231,59524,0.9249826759776109,0.9715139472737158,0.04653127129610487,0.028486052726284274,89578,92820,22758,868464,3791,0,16488
D112,2089584,1935244,2034146,98902,55438,0.9261384084104779,0.9734693604085789,0.047330951998101056,0.026530639591421067,137374,98193,4738,1049536,15053,1,1108
V25,2089584,1939915,2034558,94643,55026,0.9283737815756629,0.9736665288401902,0.04529274726452729,0.026333471159809798,111911,90863,22538,525838,6736,0,12090
D51,2089584,1948327,2044020,95693,45564,0.9323994632424444,0.9781947028690878,0.04579523962664339,0.02180529713091218,116434,95406,2258,1267821,13514,0,743
V83,2089584,1968717,2044201,75484,45383,0.9421573863505847,0.9782813229810335,0.03612393663044893,0.021718677018966456,73008,71963,22420,870799,3084,0,12156
D91,2089584,1954771,2050026,95255,39558,0.9354833306533741,0.9810689591803919,0.04558562852701782,0.018931040819608114,96358,94330,9947,1241916,5905,0,2533
